"POLLING_PLACE","LONGITUDE","LATITUDE",""
"IMELDA ELEMENTARY SCHOOL","120.957195","14.655281",""
"MAYSILO ELEMENTARY SCHOOL","120.960919","14.677466",""
"MUZON ELEMENTARY SCHOOL","120.949966","14.676504",""
"NIUGAN ELEMENTARY SCHOOL","120.955254","14.66719",""
"PANGHULO NATIONAL HIGH SCHOOL","120.954206","14.687302",""
"POTRERO ELEMENTARY SCHOOL (UNIT 1)","120.978391","14.664472",""
"POTRERO ELEMENTARY SCHOOL (MAIN)","120.978391","14.664472",""
"BAGONG LOTE ELEMENTARY SCHOOL","120.978391","14.664472",""
"DELA PAZ ELEMENTARY SCHOOL","120.952514","14.662087",""
"SANTULAN ELEMENTARY SCHOOL","120.958858","14.68545",""
"TA—ONG INTEGRATED SCHOOL","120.95154","14.65732",""
"TA—ONG ELEMENTARY SCHOOL (UNIT 1)","120.95154","14.65732",""
"TINAJEROS ELEMENTARY SCHOOL","120.969912","14.671345",""
"TINAJEROS NATIONAL HIGH SCHOOL","120.969912","14.671345",""
"TONSUYA ELEMENTARY SCHOOL","120.957558","14.663705",""
"TUGATOG NATIONAL HIGH SCHOOL","120.966636","14.660033",""
"EPIFANIO DELOS SANTOS ELEMENTARY SCHOOL","120.966636","14.660033",""
"BAGUMBAYAN ELEMENTARY SCHOOL","120.948411","14.658333",""
"NORTH BAY BOULEVARD NORTH ELEMENTARY SCHOOL","120.950456","14.647919",""
"BANGKULASI ELEMENTARY SCHOOL","120.952733","14.651136",""
"DAANGHARI ELEMENTARY SCHOOL","120.940657","14.665812",""
"NAVOTAS NATIONAL HIGH SCHOOL","120.948437","14.657947",""
"KAPITBAHAYAN ELEMENTARY SCHOOL","120.957561","14.64436",""
"NAVOTAS ELEMENTARY SCHOOL","120.943819","14.66258",""
"SAN RAFAEL VILLAGE ELEMENTARY SCHOOL","120.964536","14.636998",""
"SAN ROQUE ELEMENTARY SCHOOL","120.938492","14.669668",""
"TANGOS ELEMENTARY SCHOOL - 1","120.932337","14.674045",""
"TANZA ELEMENTARY SCHOOL","120.933618","14.678907",""
"DAGAT DAGATAN ELEMENTARY SCHOOL","120.956353","14.6508",""
"KAUNLARAN HIGH SCHOOL","120.957687","14.645677",""
"TANGOS ELEMENTARY SCHOOL (MOTHER)","120.934669","14.673748",""
